,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unnamed: 67
77,France,FRA,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.616,24.982,27.576,30.325,30.608,30.251,31.011,28.327,28.148,22.483,20.418,20.727,18.138,19.737,21.246,22.497,19.43,18.015,21.618,22.988,22.63,23.077,24.367,23.109,23.408,23.975,21.186,19.902,18.111,19.967,18.785,17.319,
81,United Kingdom,GBR,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.459,11.683,13.474,12.831,12.601,11.399,11.176,10.626,10.313,10.324,8.639,8.708,9.373,9.629,10.879,11.936,12.463,12.722,15.992,17.48,18.429,18.078,17.988,14.672,12.839,11.017,10.53,10.185,9.113,11.613,11.202,8.264,
89,Greece,GRC,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.725,34.417,36.601,37.443,38.165,42.053,41.238,39.634,41.359,38.277,36.461,34.841,35.299,35.475,34.643,34.815,32.231,28.688,33.693,40.702,51.892,63.465,64.136,58.4,55.244,50.853,48.384,44.07,37.215,39.486,41.069,37.274,
99,Croatia,HRV,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.559,36.696,34.23,32.51,30.094,27.812,26.864,30.91,35.945,41.323,41.273,38.617,38.143,36.741,34.605,30.758,29.148,28.157,27.36,33.501,36.037,41.948,50.146,46.396,43.716,31.335,27.767,29.473,19.83,25.079,26.398,24.671,
101,Hungary,HUN,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.408,14.886,18.108,16.433,15.609,17.251,14.066,12.65,10.656,10.398,9.528,10.226,12.049,14.15,19.027,19.765,18.867,20.352,24.44,24.603,24.612,27.038,27.868,20.905,15.92,12.856,12.036,10.681,10.596,13.985,15.485,9.785,
111,Ireland,IRL,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.767,20.387,22.243,20.094,16.926,16.64,14.539,10.686,8.217,6.727,5.616,6.41,6.864,7.316,7.673,7.808,7.871,10.048,16.811,20.912,22.337,23.569,22.787,19.84,16.349,13.558,12.586,12.595,10.616,15.245,14.5,8.015,
116,Italy,ITA,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.929,33.131,35.245,36.073,38.62,40.099,40.999,38.786,38.73,35.598,31.848,31.796,31.286,29.112,27.644,25.493,23.337,24.628,28.573,29.434,32.145,37.624,41.491,44.706,42.646,39.642,37.311,34.837,31.222,31.772,32.857,25.569,
143,Lithuania,LTU,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,2.011,22.908,22.652,28.3,26.236,22.374,18.914,20.989,27.254,24.651,21.579,32.869,16.548,15.45,10.547,10.446,13.902,22.424,31.642,29.388,22.703,20.387,18.749,16.678,12.638,11.667,10.071,9.249,17.307,14.719,9.186,
144,Luxembourg,LUX,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.285,3.114,4.255,7.253,7.824,8.301,9.174,7.073,7.399,7.322,5.483,8.993,12.207,22.363,16.209,15.051,16.72,24.114,17.736,10.159,20.799,18.604,10.913,17.967,15.671,18.062,13.274,11.918,16.019,21.378,16.129,16.394,
145,Latvia,LVA,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.358,13.088,32.499,36.044,36.662,39.804,28.672,26.076,19.604,21.684,24.02,25.39,26.607,30.842,18.456,16.105,9.981,13.159,29.397,34.912,30.709,29.519,24.969,19.951,14.144,12.127,15.413,11.829,10.131,15.464,14.585,8.805,
159,Malta,MLT,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.066,10.113,10.187,10.194,10.18,10.232,10.349,10.333,10.388,10.401,14.592,14.165,19.681,18.072,16.046,14.434,11.837,9.996,12.553,11.839,12.877,14.499,10.355,9.51,9.811,11.332,9.908,6.751,7.972,8.083,5.937,5.355,
176,Netherlands,NLD,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.002,8.576,9.565,8.986,12.762,11.628,10.299,9.265,8.164,5.872,4.558,4.832,6.506,8.13,10.992,10.043,9.292,7.796,8.987,10.129,9.545,11.63,12.855,13.096,11.15,10.255,8.763,6.648,6.205,9.032,9.199,7.966,
190,Poland,POL,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.888,29.951,32.355,34.335,33.543,31.04,25.821,23.238,30.892,36.74,40.256,42.051,42.617,41.447,38.211,31.565,23.75,19.821,21.16,25.422,28.762,29.897,30.03,25.456,20.929,17.976,15.114,12.114,10.236,11.507,12.492,9.595,
194,Portugal,PRT,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.669,10.789,14.765,17.023,17.083,19.964,17.954,10.761,11.022,11.785,12.04,12.115,16.754,15.911,19.16,18.518,20.333,20.291,21.673,24.021,31.698,39.263,39.593,35.402,34.522,28.792,25.543,20.85,21.41,24.451,26.377,19.84,
201,Romania,ROU,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.912,26.246,26.324,25.543,23.442,23.996,19.333,17.104,15.56,16.006,17.216,22.086,20.039,18.774,18.557,20.382,18.928,18.535,20.34,21.879,23.557,22.999,24.557,24.64,23.315,21.824,18.706,16.295,17.534,16.531,21.16,23.648,
221,Slovak Republic,SVK,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.125,21.585,22.088,26.468,23.078,21.603,22.566,20.43,30.807,33.28,34.413,36.386,30.792,30.437,28.886,27.002,20.231,19.845,26.568,32.031,33.916,32.533,31.635,30.113,27.571,26.369,20.219,16.174,19.741,21.216,22.034,20.272,
222,Slovenia,SVN,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.398,21.81,24.738,21.952,19.319,16.88,19.31,18.312,19.993,18.333,16.611,16.565,18.403,17.684,17.712,16.697,11.149,11.21,13.332,13.809,16.701,20.912,23.563,21.258,14.551,14.73,12.92,9.531,9.154,16.07,14.41,12.293,
223,Sweden,SWE,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.261,10.939,18.929,19.596,18.025,19.906,20.259,16.247,14.923,7.951,10.604,12.43,13.117,17.147,21.809,22.014,19.796,20.733,23.758,23.635,22.226,22.172,22.213,21.355,19.483,17.206,16.949,16.248,19.656,22.729,24.0,22.488,
